hatlev5,hatfield,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1,0,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057,.02379057
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,.0788120031,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003,.078812003
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575,.0020820575
2,3,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932,.0037966932
2,4,.1067054495,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545,.10670545
2,5,.0005511329,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289,.00055113289
2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,.0764543787,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379,.076454379
2,8,.0133802816,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282,.013380282
2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,.0447948575,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858,.044794858
2,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
