toret,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071
-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482,0.00203392432266482
-44,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216,0.0105458119141216
-43,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947,0.0171848542709947
-42,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422,0.0220992540188422
